timestamp,date,hour,weekday,stop,vehId,plateNo,busType,capacity,remainSeat_before,remainSeat_after,boardings
2026-05-14 14:52:31,2026-05-14,14,2,효행초등학교정문,88210,경기77자4421,0,45,41,38,3
2026-05-14 14:52:31,2026-05-14,14,2,아이파크정문,88210,경기77자4421,0,45,38,22,16
2026-05-14 14:52:31,2026-05-14,14,2,신명아파트,88210,경기77자4421,0,45,22,18,4
2026-05-14 14:52:31,2026-05-14,14,2,수원대입구,88210,경기77자4421,0,45,18,0,18
2026-05-14 15:41:17,2026-05-14,15,2,효행초등학교정문,88214,경기77자4425,2,70,66,61,5
2026-05-14 15:41:17,2026-05-14,15,2,아이파크정문,88214,경기77자4425,2,70,61,38,23
2026-05-14 15:41:17,2026-05-14,15,2,신명아파트,88214,경기77자4425,2,70,38,31,7
2026-05-14 15:41:17,2026-05-14,15,2,수원대입구,88214,경기77자4425,2,70,31,0,31
2026-05-14 16:33:44,2026-05-14,16,2,효행초등학교정문,88209,경기77자4420,0,45,44,40,4
2026-05-14 16:33:44,2026-05-14,16,2,아이파크정문,88209,경기77자4420,0,45,40,19,21
2026-05-14 16:33:44,2026-05-14,16,2,신명아파트,88209,경기77자4420,0,45,19,14,5
2026-05-14 16:33:44,2026-05-14,16,2,수원대입구,88209,경기77자4420,0,45,14,0,14
2026-05-15 14:48:09,2026-05-15,14,3,효행초등학교정문,88211,경기77자4422,0,45,43,36,7
2026-05-15 14:48:09,2026-05-15,14,3,아이파크정문,88211,경기77자4422,0,45,36,18,18
2026-05-15 14:48:09,2026-05-15,14,3,신명아파트,88211,경기77자4422,0,45,18,12,6
2026-05-15 14:48:09,2026-05-15,14,3,수원대입구,88211,경기77자4422,0,45,12,0,12
2026-05-15 15:37:52,2026-05-15,15,3,효행초등학교정문,88215,경기77자4426,2,70,68,62,6
2026-05-15 15:37:52,2026-05-15,15,3,아이파크정문,88215,경기77자4426,2,70,62,41,21
2026-05-15 15:37:52,2026-05-15,15,3,신명아파트,88215,경기77자4426,2,70,41,35,6
2026-05-15 15:37:52,2026-05-15,15,3,수원대입구,88215,경기77자4426,2,70,35,0,35
2026-05-15 16:29:18,2026-05-15,16,3,효행초등학교정문,88209,경기77자4420,0,45,42,37,5
2026-05-15 16:29:18,2026-05-15,16,3,아이파크정문,88209,경기77자4420,0,45,37,21,16
2026-05-15 16:29:18,2026-05-15,16,3,신명아파트,88209,경기77자4420,0,45,21,15,6
2026-05-15 16:29:18,2026-05-15,16,3,수원대입구,88209,경기77자4420,0,45,15,0,15
2026-05-16 14:55:43,2026-05-16,14,4,효행초등학교정문,88212,경기77자4423,0,45,44,39,5
2026-05-16 14:55:43,2026-05-16,14,4,아이파크정문,88212,경기77자4423,0,45,39,20,19
2026-05-16 14:55:43,2026-05-16,14,4,신명아파트,88212,경기77자4423,0,45,20,16,4
2026-05-16 14:55:43,2026-05-16,14,4,수원대입구,88212,경기77자4423,0,45,16,0,16
2026-05-16 15:44:26,2026-05-16,15,4,효행초등학교정문,88214,경기77자4425,2,70,65,57,8
2026-05-16 15:44:26,2026-05-16,15,4,아이파크정문,88214,경기77자4425,2,70,57,33,24
2026-05-16 15:44:26,2026-05-16,15,4,신명아파트,88214,경기77자4425,2,70,33,27,6
2026-05-16 15:44:26,2026-05-16,15,4,수원대입구,88214,경기77자4425,2,70,27,0,27
2026-05-16 16:38:11,2026-05-16,16,4,효행초등학교정문,88210,경기77자4421,0,45,43,38,5
2026-05-16 16:38:11,2026-05-16,16,4,아이파크정문,88210,경기77자4421,0,45,38,17,21
2026-05-16 16:38:11,2026-05-16,16,4,신명아파트,88210,경기77자4421,0,45,17,11,6
2026-05-16 16:38:11,2026-05-16,16,4,수원대입구,88210,경기77자4421,0,45,11,0,11
